hour,day_of_week,crime_count,city
0,Friday,55649,Chicago
0,Monday,56321,Chicago
0,Saturday,64379,Chicago
0,Sunday,63995,Chicago
0,Thursday,52930,Chicago
0,Tuesday,52890,Chicago
0,Wednesday,53331,Chicago
1,Friday,30106,Chicago
1,Monday,28808,Chicago
1,Saturday,45174,Chicago
1,Sunday,47217,Chicago
1,Thursday,27811,Chicago
1,Tuesday,26733,Chicago
1,Wednesday,26876,Chicago
2,Friday,24691,Chicago
2,Monday,22858,Chicago
2,Saturday,40968,Chicago
2,Sunday,43136,Chicago
2,Thursday,22334,Chicago
2,Tuesday,20836,Chicago
2,Wednesday,21088,Chicago
3,Friday,19365,Chicago
3,Monday,17779,Chicago
3,Saturday,33183,Chicago
3,Sunday,38205,Chicago
3,Thursday,17596,Chicago
3,Tuesday,16082,Chicago
3,Wednesday,16268,Chicago
4,Friday,14663,Chicago
4,Monday,13874,Chicago
4,Saturday,24547,Chicago
4,Sunday,28448,Chicago
4,Thursday,13297,Chicago
4,Tuesday,12624,Chicago
4,Wednesday,12442,Chicago
5,Friday,13205,Chicago
5,Monday,12906,Chicago
5,Saturday,17197,Chicago
5,Sunday,20075,Chicago
5,Thursday,12303,Chicago
5,Tuesday,12147,Chicago
5,Wednesday,12207,Chicago
6,Friday,17217,Chicago
6,Monday,16754,Chicago
6,Saturday,15598,Chicago
6,Sunday,15766,Chicago
6,Thursday,17141,Chicago
6,Tuesday,16936,Chicago
6,Wednesday,17242,Chicago
7,Friday,26280,Chicago
7,Monday,26058,Chicago
7,Saturday,17948,Chicago
7,Sunday,15995,Chicago
7,Thursday,26586,Chicago
7,Tuesday,27265,Chicago
7,Wednesday,26932,Chicago
8,Friday,39068,Chicago
8,Monday,39274,Chicago
8,Saturday,26242,Chicago
8,Sunday,22284,Chicago
8,Thursday,40005,Chicago
8,Tuesday,39826,Chicago
8,Wednesday,40353,Chicago
9,Friday,48373,Chicago
9,Monday,48406,Chicago
9,Saturday,37505,Chicago
9,Sunday,32428,Chicago
9,Thursday,48225,Chicago
9,Tuesday,48399,Chicago
9,Wednesday,48857,Chicago
10,Friday,47229,Chicago
10,Monday,45748,Chicago
10,Saturday,41352,Chicago
10,Sunday,36318,Chicago
10,Thursday,46007,Chicago
10,Tuesday,45818,Chicago
10,Wednesday,46344,Chicago
11,Friday,49361,Chicago
11,Monday,46922,Chicago
11,Saturday,44095,Chicago
11,Sunday,39464,Chicago
11,Thursday,48217,Chicago
11,Tuesday,48292,Chicago
