month,crime_count,city,avg_per_year,avg_per_100k
1,579857,Chicago,24161.0,896.0
2,515255,Chicago,21469.0,796.2
3,608156,Chicago,25340.0,939.7
4,606193,Chicago,25258.0,936.7
5,651042,Chicago,27127.0,1006.0
6,634092,Chicago,26420.0,979.8
7,667658,Chicago,27819.0,1031.6
8,661339,Chicago,27556.0,1021.9
9,636922,Chicago,26538.0,984.1
10,643668,Chicago,26820.0,994.6
11,569520,Chicago,23730.0,880.0
12,542658,Chicago,22611.0,838.5
1,83789,Seattle,4655.0,631.4
2,73148,Seattle,4064.0,551.2
3,82546,Seattle,4586.0,622.0
4,80874,Seattle,4493.0,609.4
5,91153,Seattle,5064.0,686.9
6,80837,Seattle,4491.0,609.2
7,87111,Seattle,4840.0,656.5
8,87643,Seattle,4869.0,660.4
9,85240,Seattle,4736.0,642.4
10,88758,Seattle,4931.0,668.8
11,81807,Seattle,4545.0,616.5
12,82356,Seattle,4575.0,620.5
