year,crime_category,crime_count,city,pct_of_year
2001,Arson,1005,Chicago,0.21
2001,Assault,124790,Chicago,25.84
2001,Burglary,25943,Chicago,5.37
2001,Domestic / Family,1,Chicago,0.0
2001,Drugs,50324,Chicago,10.42
2001,Fraud,14774,Chicago,3.06
2001,Gambling,933,Chicago,0.19
2001,Homicide,630,Chicago,0.13
2001,Kidnapping,924,Chicago,0.19
2001,Offenses Involving Minors,2208,Chicago,0.46
2001,Other,29574,Chicago,6.12
2001,Prostitution,6007,Chicago,1.24
2001,Public Corruption,405,Chicago,0.08
2001,Public Disorder,4346,Chicago,0.9
2001,Robbery,18292,Chicago,3.79
2001,Sex Offenses,3939,Chicago,0.82
2001,Theft,98447,Chicago,20.39
2001,Trespassing,13182,Chicago,2.73
2001,Vandalism,55590,Chicago,11.51
2001,Vehicle Theft,27282,Chicago,5.65
2001,Weapons,4246,Chicago,0.88
2002,Arson,978,Chicago,0.21
2002,Assault,122977,Chicago,26.08
2002,Burglary,25221,Chicago,5.35
2002,Drugs,49829,Chicago,10.57
2002,Fraud,13237,Chicago,2.81
2002,Gambling,947,Chicago,0.2
2002,Homicide,629,Chicago,0.13
2002,Kidnapping,803,Chicago,0.17
2002,Offenses Involving Minors,2397,Chicago,0.51
2002,Other,31816,Chicago,6.75
2002,Prostitution,6030,Chicago,1.28
2002,Public Corruption,345,Chicago,0.07
2002,Public Disorder,3725,Chicago,0.79
2002,Robbery,17740,Chicago,3.76
2002,Sex Offenses,3782,Chicago,0.8
2002,Theft,95363,Chicago,20.23
2002,Trespassing,13570,Chicago,2.88
2002,Vandalism,54709,Chicago,11.6
2002,Vehicle Theft,23255,Chicago,4.93
2002,Weapons,4149,Chicago,0.88
2003,Arson,953,Chicago,0.2
2003,Assault,117734,Chicago,24.94
2003,Burglary,25010,Chicago,5.3
2003,Drugs,53765,Chicago,11.39
2003,Fraud,13255,Chicago,2.81
2003,Gambling,1083,Chicago,0.23
2003,Homicide,562,Chicago,0.12
2003,Kidnapping,700,Chicago,0.15
2003,Offenses Involving Minors,2893,Chicago,0.61
2003,Other,30920,Chicago,6.55
2003,Prostitution,6161,Chicago,1.31
2003,Public Corruption,408,Chicago,0.09
2003,Public Disorder,3715,Chicago,0.79
2003,Robbery,17235,Chicago,3.65
2003,Sex Offenses,3544,Chicago,0.75
2003,Theft,97804,Chicago,20.72
2003,Trespassing,14687,Chicago,3.11
2003,Vandalism,54694,Chicago,11.59
2003,Vehicle Theft,22677,Chicago,4.8
2003,Weapons,4199,Chicago,0.89
2004,Arson,774,Chicago,0.17
2004,Assault,116323,Chicago,24.9
2004,Burglary,24520,Chicago,5.25
2004,Drugs,56891,Chicago,12.18
2004,Fraud,13080,Chicago,2.8
2004,Gambling,1119,Chicago,0.24
2004,Homicide,437,Chicago,0.09
2004,Kidnapping,479,Chicago,0.1
2004,Offenses Involving Minors,2906,Chicago,0.62
2004,Other,29466,Chicago,6.31
2004,Prostitution,7468,Chicago,1.6
2004,Public Corruption,524,Chicago,0.11
2004,Public Disorder,3475,Chicago,0.74
2004,Robbery,15951,Chicago,3.41
2004,Sex Offenses,3203,Chicago,0.69
2004,Theft,94642,Chicago,20.26
2004,Trespassing,15834,Chicago,3.39
2004,Vandalism,53070,Chicago,11.36
2004,Vehicle Theft,22747,Chicago,4.87
2004,Weapons,4285,Chicago,0.92
2005,Arson,688,Chicago,0.15
2005,Assault,111049,Chicago,24.68
2005,Burglary,25413,Chicago,5.65
2005,Drugs,55959,Chicago,12.44
2005,Fraud,13153,Chicago,2.92
2005,Gambling,1073,Chicago,0.24
2005,Homicide,445,Chicago,0.1
2005,Kidnapping,389,Chicago,0.09
2005,Offenses Involving Minors,2670,Chicago,0.59
2005,Other,27834,Chicago,6.19
2005,Prostitution,6097,Chicago,1.36
2005,Public Corruption,605,Chicago,0.13
2005,Public Disorder,3722,Chicago,0.83
2005,Robbery,15988,Chicago,3.55
2005,Sex Offenses,3155,Chicago,0.7
2005,Theft,84304,Chicago,18.74
2005,Trespassing,16569,Chicago,3.68
2005,Vandalism,54351,Chicago,12.08
2005,Vehicle Theft,22384,Chicago,4.98
2005,Weapons,4074,Chicago,0.91
2006,Arson,726,Chicago,0.16
2006,Assault,106961,Chicago,24.01
2006,Burglary,24304,Chicago,5.45
2006,Drugs,55341,Chicago,12.42
2006,Fraud,13266,Chicago,2.98
2006,Gambling,1357,Chicago,0.3
2006,Homicide,458,Chicago,0.1
2006,Kidnapping,339,Chicago,0.08
2006,Offenses Involving Minors,2600,Chicago,0.58
2006,Other,27059,Chicago,6.07
2006,Prostitution,6955,Chicago,1.56
2006,Public Corruption,757,Chicago,0.17
2006,Public Disorder,4183,Chicago,0.94
2006,Robbery,15945,Chicago,3.58
2006,Sex Offenses,2890,Chicago,0.65
2006,Theft,85233,Chicago,19.13
2006,Trespassing,14488,Chicago,3.25
2006,Vandalism,57076,Chicago,12.81
2006,Vehicle Theft,21785,Chicago,4.89
2006,Weapons,3817,Chicago,0.86
2007,Arson,710,Chicago,0.16
2007,Assault,106337,Chicago,24.41
2007,Burglary,24838,Chicago,5.7
2007,Drugs,54424,Chicago,12.49
2007,Fraud,13870,Chicago,3.18
2007,Gambling,1409,Chicago,0.32
2007,Homicide,430,Chicago,0.1
2007,Kidnapping,329,Chicago,0.08
2007,Offenses Involving Minors,2760,Chicago,0.63
2007,Other,26837,Chicago,6.16
2007,Prostitution,6084,Chicago,1.4
2007,Public Corruption,675,Chicago,0.15
2007,Public Disorder,4484,Chicago,1.03
2007,Robbery,15445,Chicago,3.54
2007,Sex Offenses,2950,Chicago,0.68
2007,Theft,84600,Chicago,19.42
2007,Trespassing,13691,Chicago,3.14
2007,Vandalism,53716,Chicago,12.33
2007,Vehicle Theft,18553,Chicago,4.26
2007,Weapons,3547,Chicago,0.81
2008,Arson,642,Chicago,0.15
2008,Assault,101140,Chicago,24.09
2008,Burglary,25994,Chicago,6.19
2008,Drugs,45068,Chicago,10.73
2008,Fraud,14272,Chicago,3.4
2008,Gambling,1178,Chicago,0.28
2008,Homicide,489,Chicago,0.12
2008,Kidnapping,357,Chicago,0.09
2008,Offenses Involving Minors,2439,Chicago,0.58
2008,Other,26110,Chicago,6.22
2008,Prostitution,5089,Chicago,1.21
2008,Public Corruption,574,Chicago,0.14
2008,Public Disorder,3891,Chicago,0.93
2008,Robbery,16579,Chicago,3.95
2008,Sex Offenses,2812,Chicago,0.67
2008,Theft,86365,Chicago,20.57
2008,Trespassing,12219,Chicago,2.91
2008,Vandalism,52191,Chicago,12.43
2008,Vehicle Theft,18619,Chicago,4.43
2008,Weapons,3825,Chicago,0.91
2009,Arson,611,Chicago,0.16
2009,Assault,90743,Chicago,23.51
2009,Burglary,26474,Chicago,6.86
