neighborhood,large_neighborhood,crime_count,top_category
Alki,West Seattle,4501,Other
Arbor Heights,West Seattle,2017,Other
Atlantic,Central Area,16783,Other
Ballard,Ballard,17942,Other
Belltown,Downtown,35837,Other
Bitter Lake,Northwest,13065,Other
Briarcliff,Magnolia,1623,Other
Brighton,Rainier Valley,9245,Other
Broadview,Northwest,4228,Other
Broadway,Capitol Hill,57389,Other
Bryant,Northeast,3697,Other
Cedar Park,Lake City,8470,Other
Central Business District,Downtown,69462,Other
Columbia City,Rainier Valley,18738,Other
Crown Hill,Northwest,4310,Other
Denny Triangle,Downtown,13537,Other
Dunlap,Rainier Valley,12963,Other
East Queen Anne,Queen Anne,9501,Other
Eastlake,Cascade,6300,Other
Fairmount Park,West Seattle,6245,Other
Fauntleroy,West Seattle,2911,Other
First Hill,Downtown,30102,Other
Fremont,North Central,19384,Other
Gatewood,West Seattle,3483,Other
Genesee,West Seattle,8153,Other
Georgetown,Greater Duwamish,10524,Other
Green Lake,North Central,11905,Other
Greenwood,Northwest,20743,Other
Haller Lake,Northgate,17689,Other
Harbor Island,Greater Duwamish,452,Other
Harrison/Denny-Blaine,Central Area,1681,Other
High Point,Delridge,6786,Other
Highland Park,Delridge,7012,Other
Holly Park,Beacon Hill,5780,Other
Industrial District,Greater Duwamish,6939,Other
Interbay,Interbay,5347,Other
International District,Downtown,26241,Other
Laurelhurst,Northeast,1888,Other
Lawton Park,Magnolia,4881,Other
Leschi,Central Area,4413,Other
Licton Springs,Northgate,10698,Other
Lower Queen Anne,Queen Anne,25376,Other
Loyal Heights,Ballard,4326,Other
Madison Park,Capitol Hill,2883,Other
Madrona,Central Area,3111,Other
Mann,Central Area,5563,Other
Maple Leaf,Northgate,10156,Other
Matthews Beach,Lake City,2358,Other
Meadowbrook,Lake City,2396,Other
Mid-Beacon Hill,Beacon Hill,8703,Other
Minor,Central Area,16449,Other
Montlake,Capitol Hill,4011,Other
Mount Baker,Rainier Valley,10296,Other
North Admiral,West Seattle,8724,Other
North Beach/Blue Ridge,Northwest,1571,Other
North Beacon Hill,Beacon Hill,20696,Other
North Delridge,Delridge,6089,Other
North Queen Anne,Queen Anne,7186,Other
Olympic Hills,Lake City,9490,Other
Phinney Ridge,North Central,7815,Other
Pike-Market,Downtown,16142,Other
Pinehurst,Northgate,18730,Other
Pioneer Square,Downtown,29464,Other
Portage Bay,Capitol Hill,1226,Other
Rainier Beach,Rainier Valley,5724,Other
Rainier View,Rainier Valley,2163,Other
Ravenna,Northeast,11039,Other
Riverview,Delridge,4089,Other
Roosevelt,Northeast,11167,Other
Roxhill,Delridge,9818,Other
SODO,Greater Duwamish,21774,Other
Sand Point,Northeast,2691,Other
Seaview,West Seattle,2933,Other
Seward Park,Seward Park,4711,Other
South Beacon Hill,Beacon Hill,3778,Other
South Delridge,Delridge,10346,Other
South Lake Union,Cascade,23284,Other
South Park,Greater Duwamish,6969,Other
Southeast Magnolia,Magnolia,2937,Other
Stevens,Capitol Hill,11979,Other
Sunset Hill,Ballard,3468,Other
University District,University District,32646,Other
University Heights,University District,9775,Other
University of Washington,University District,2538,Other
Victory Heights,Lake City,4474,Other
View Ridge,Northeast,2214,Other
Wallingford,North Central,16804,Other
Wedgwood,Northeast,4102,Other
West Queen Anne,Queen Anne,5868,Other
West Woodland,Ballard,15165,Other
Westlake,Cascade,5259,Other
Whittier Heights,Ballard,4496,Other
Windermere,Northeast,1697,Other
Yesler Terrace,Downtown,12423,Other
